request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-acQUEobw,2024-07-25T05:54:18.785000Z,JaneSt/HaneyAve--wreHD7Ib,2024-07-25,Thursday,00:03,Toronto,a12d9002aaf2ad0f0f14c3952bd5e0ef,Jane St / Haney Ave,4,15
Toronto-gQmvlY3z,2024-07-25T05:54:18.788000Z,ScarlettRd/EileenAve--80ZXX49Z,2024-07-25,Thursday,00:03,Toronto,ba8491c919d03c2df6ecfdd2f49bf386,Scarlett Rd / Eileen Ave,3,12
Toronto-oPV5cX2p,2024-07-25T05:54:18.780000Z,ScarlettRd/OldScarlettRd--mBNwv06E,2024-07-25,Thursday,00:03,Toronto,487f2f445a917af1d4fecb653ab5323a,Scarlett Rd / Old Scarlett Rd ,7,8
Toronto-hRcB2ksh,2024-07-25T05:54:18.782000Z,EglintonAveW/VennCres--lf8VaKPv,2024-07-25,Thursday,00:03,Toronto,709a2d134b022632c50a0a7601762715,Eglinton Ave W / Venn Cres,5,14
Toronto-Ci3IwMEk,2024-07-25T05:54:18.828000Z,RogersRd/BicknellAve--rrypAqli,2024-07-25,Thursday,00:03,Toronto,b5ad1157fda3b700cc6d0ffcd32295bc,Rogers Rd / Bicknell Ave,1,21
Toronto-C1LRNEUr,2024-07-25T05:54:16.388000Z,CruickshankPark--rXYZl1lf,2024-07-25,Thursday,00:03,Toronto,8e7a7ed4aca59d5a9bd6606d2b3b5d08,Cruickshank Park,0,10
Toronto-QlWzRyLv,2024-07-25T05:54:18.844000Z,MallabyPark--ryaHmihe,2024-07-25,Thursday,00:03,Toronto,3787fcc5d521f5f5a12d7c15d8ce4d51,Mallaby Park ,1,11
Toronto-AChIO7Oq,2024-07-25T05:54:16.380000Z,EmmettAve--AkT39cun,2024-07-25,Thursday,00:03,Toronto,d310230182f10034968c97f0c799ee0b,Emmett Ave,1,17
Toronto-6drRvFAD,2024-07-25T05:54:16.372000Z,JaneSt/WestonRd--1I8dzTnE,2024-07-25,Thursday,00:03,Toronto,4bb6616d228bef48cacf56e55952d22c,Jane St / Weston Rd,2,13
Toronto-Hsogejzl,2024-07-25T05:54:16.360000Z,JaneSt/QueensDr--nEYcFGDW,2024-07-25,Thursday,00:03,Toronto,b9968838980358b9b14c03e5894fd3e9,Jane St / Queens Dr,0,15
Toronto-ayUEwcHl,2024-07-25T05:54:16.336000Z,2700EglintonAveW--LeTXZNdb,2024-07-25,Thursday,00:03,Toronto,1acb494034578036df5811294b853b12,2700 Eglinton Ave W,33,2
Toronto-TC4IbS1i,2024-07-25T05:54:16.562000Z,265ArmadaleAve--WI3MEvFB,2024-07-25,Thursday,00:03,Toronto,df51480ffd94a7b3412a6d3cc7706585,265 Armadale Ave,29,8
Toronto-Wm9psIyK,2024-07-25T05:54:16.436000Z,SentinelRd/SheppardAveW--5JvLpAuj,2024-07-25,Thursday,00:03,Toronto,e5f9b21c3995c434d0978634faed2a08,Sentinel Rd / Sheppard Ave W,5,10
Toronto-gByZ8Xka,2024-07-25T05:54:19.968000Z,HighPark-WestRd--q58u2C7J,2024-07-25,Thursday,00:03,Toronto,2488c941ca12639d2852ad9cbba92626,High Park - West Rd,5,17
Toronto-qrZiQRAe,2024-07-25T05:54:23.904000Z,HighParkAmphitheatre--1Nj1swiF,2024-07-25,Thursday,00:03,Toronto,1e9a239336b30d755305f5041c582f05,High Park Amphitheatre,3,20
Toronto-sRc66xxc,2024-07-25T05:54:23.912000Z,HighParkOutdoorPool--PnOR4FFK,2024-07-25,Thursday,00:03,Toronto,0f6db2aa8f96b5a7e102eb705b9ccc11,High Park Outdoor Pool,1,25
